label#,Nstg,Comp 1,Comp 2,Comp 3,Comp 4,Comp 5,Comp 6,Comp 7,Comp 8
A.220,0,-3.4103,-3.0481,2.8718,-0.17725,2.6033,-1.5917,0.91521,-1.1091
A.24,0,-2.9041,-1.0183,2.8311,-2.8385,0.40209,-3.641,-2.4221,-0.021855
A.28,0,3.0113,-2.6456,-0.02016,-2.0142,0.7171,-2.9011,-2.244,-1.5435
A.33,0,-2.0562,0.60776,2.1365,-0.01253,-0.41607,-2.7954,2.4684,1.1339
A.344,0,-2.4732,1.0604,-3.4585,0.67573,1.8037,-3.0919,-2.1411,0.88
A.250,0,-3.4466,-0.85112,3.3681,-1.7619,-1.2673,-1.1137,1.264,-1.4851
A.376,0,-1.1923,1.6515,-5.2406,-0.94361,0.56844,0.22398,3.6521,-3.2149
A.281,0,4.2458,-2.3153,-4.5812,0.87027,2.1395,1.9647,0.22138,-2.9482
A.8,0,-2.1322,-2.838,-1.7781,0.40265,-1.4483,0.82444,-4.2119,-0.045394
A.353,0,-3.4613,0.00172,3.7258,1.0842,2.5356,-2.2925,-1.1629,-1.2417
A.274,0,-1.4437,0.39513,4.0323,-2.2955,-4.1929,-1.7511,0.28705,-2.163
A.295,0,4.7339,-1.2721,1.0112,-1.2705,1.4393,-2.3784,-2.6283,-0.011538
A.3,0,-1.2359,3.8259,-0.63642,-3.6637,3.7202,1.5794,-0.68305,-4.1916
A.314,0,0.4869,-4.4336,-2.6175,2.1442,-2.0091,0.30953,0.3146,-4.807
A.287,0,-4.0323,-1.1045,0.9156,0.30845,1.235,-1.4199,0.088957,0.3765
A.319,0,-0.56297,-1.2409,0.075913,3.5146,0.77896,-1.2523,2.5019,-1.385
A.407,0,-0.835,-3.1838,-2.7955,0.99098,-1.6618,-1.1693,4.0237,0.034924
A.92,0,-2.8248,1.5367,-2.796,0.98709,1.8629,-2.8916,-1.684,2.5571
A.22,0,-3.8445,-2.8577,-0.47775,-0.51939,-0.61945,-2.1126,2.1514,0.48493
A.282,0,-1.5897,-2.4907,-0.17842,0.75376,-1.3499,0.48727,-4.5875,1.5382
A.237,0,-3.6772,-1.5391,3.1436,-2.2605,-1.03,1.0767,1.4916,-2.8477
A.313,0,2.2199,-2.7409,-3.228,0.90239,2.3299,0.81677,2.4542,-2.5044
A.193,0,-2.992,-4.5179,-2.9129,0.30555,0.34667,1.6201,-6.0252,-0.46523
A.272,0,0.64415,-4.7132,2.1076,-1.2806,-0.25538,0.60835,1.2692,-1.5909
A.115,0,-3.3389,-2.2301,-3.2538,0.39039,-3.1124,2.9596,-1.2039,0.45334
A.347,0,-1.0591,-3.0598,-2.5091,5.1467,-1.3348,1.0399,0.81572,-3.3681
A.114,0,-4.1257,-1.3198,-3.9196,-1.7786,0.14827,-2.5042,-1.8864,0.80258
A.230,0,2.1876,-3.443,0.46588,-2.0935,1.2153,-3.352,-2.3791,-0.75383
A.333,0,-1.3396,-1.0574,-5.747,2.2864,-1.3499,-2.4748,1.7499,-1.3087
A.332,0,-0.23759,-0.044269,-3.8003,-1.7552,1.157,0.13387,1.198,-3.8977
A.208,0,-2.0408,0.44817,3.373,-0.50545,-2.892,-0.18086,1.5322,-1.1546
A.329,0,-1.9624,-2.0795,-0.60628,0.94085,-0.76802,1.9391,-3.2097,1.8402
A.318,1,2.1457,-3.2083,3.4929,-0.24746,-0.033253,-0.10685,-0.53145,-1.5215
A.39,1,3.7968,-2.8822,-4.284,-2.5916,-0.75503,0.6956,2.1487,3.8983
A.42,1,3.065,0.61872,4.316,1.5052,-2.6437,-0.79113,0.5522,1.2535
A.149,1,2.3061,-0.39264,0.66677,-0.78979,1.7059,-1.4726,1.546,1.6899
A.164,1,-1.8066,1.5989,5.8034,-0.82094,-1.4584,1.3181,4.7662,0.96816
A.176,1,-0.53432,0.44363,4.2321,-0.81414,-0.8296,-2.6598,-0.76597,-0.023995
A.172,1,3.4043,-2.9789,4.1941,-3.3828,-3.037,0.72007,-2.0474,0.1843
A.298,1,-2.219,-0.72302,1.1387,-1.5232,-1.0134,-1.2636,0.51699,2.6839
A.374,1,-2.5427,-1.2737,1.4198,-1.2354,-0.04632,-1.6921,2.4566,1.1401
A.303,1,5.4705,-0.094619,-1.5499,-1.4106,0.70841,-0.30064,0.33069,2.4108
A.29,1,3.4678,0.096664,5.6206,1.8551,-0.15341,0.60811,-0.95015,-2.0356
A.418,1,-0.82627,-1.8824,-2.6253,-0.92397,-2.0215,-0.9715,3.9478,-0.92767
A.44,1,-0.88395,0.2474,4.0362,2.4186,1.941,-0.37287,2.4402,1.3326
